seller_id,seller_state,delivered_orders,items_sold,revenue,average_item_value,revenue_rank
5bc237df65098fe211bb4818f4d26d78,MG,2,2,183.89,91.94,2456
0daf5180aa44356f60f8effa533b55a2,GO,2,2,183.63,91.81,2457
ff82e8873fba613f2261a9acc896fd84,MG,4,4,183.53,45.88,2458
695051e2981c8b19e77cafe450d5bdf3,SP,1,1,182.45,182.45,2459
8e4f041ff58e7845456d3482524014b3,RS,2,2,182.39,91.2,2460
aa2640d851ec322526f1295bbeb20092,SP,1,2,182.34,91.17,2461
08061dc0fc165ed41288cc7acde738ee,SP,4,4,182.22,45.55,2462
e3e290b38963293022cdcd6db8328103,SP,3,3,182.04,60.68,2463
6601ee6383e7f452be71929f8de48bbb,SP,2,2,181.94,90.97,2464
99cd94252748d2bdde08e17858233602,SP,2,2,181.32,90.66,2465
f1ce5fdecd64935c28b9ff932751d0dc,SP,2,2,180.53,90.27,2466
913fd0ebba70bb919f7254a02239173c,SC,1,1,179.12,179.12,2467
1927cdb9fa74f5270097f6250e8e8f34,SP,1,1,178.92,178.92,2468
5ca5d579b5857ee8709479b1047cecc3,SP,1,1,178.04,178.04,2469
fc38b5dceee1a730fad8853453437fbd,SP,5,5,178.01,35.6,2470
f266295f49a28eee21f413e0cbb0521d,PR,2,2,177.94,88.97,2471
d26aa40b90272d4843d63be7c1462c8d,SP,2,2,177.42,88.71,2472
077c5fae4bea9500e3737b16f71b9d3a,SP,4,6,177.24,29.54,2473
96f7c797de9ca20efbe14545bed63eec,SP,1,3,176.97,58.99,2474
76d336555bb25f3165d2f0d6da719c40,SP,1,1,176.76,176.76,2475
89757206b887aed36f3e18d858460fea,SP,2,2,176.14,88.07,2476
553a440137d6e0cf776aee0bb83ac9f5,SP,2,2,175.14,87.57,2477
dde698c6d0bd24834c586e5111c2bba7,RJ,1,1,175.09,175.09,2478
9bade61a92bed55a25d2b67b9f4ed739,PR,2,3,174.8,58.27,2479
fa8d335d68129e464e60c1826a683e96,RS,1,1,174.68,174.68,2480
e9c2dc0dd4ac38448289be644ac94f42,SC,3,3,174.61,58.2,2481
818d28f936e791926d33bcb6ee94ef79,SP,4,4,174.28,43.57,2482
